"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.8172192406187","74.0211073347562","74.1287407744398","74.4870784705138","74.7888724859276","74.6924995003422","74.5856146801936","74.5281798023938","74.4965813440742","74.5251265143293","74.606589322739","74.6334674838168","74.6943064178404","74.705734250273","74.8055323150835","74.7475674981326","74.4643445299661","74.3252281185135","74.3559321575051","74.4691915291729","74.4238085564526","74.1929890682084","73.970813830569","73.5914647525279","73.32888888187","73.3573991423536","73.3355801124596","73.3312730349003","73.495687997694","74.5422977129483","74.5674405872027","74.3682519071805","75.0633542070374","74.841884279588","74.731315303856",
"Afghanistan","AFG","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4402970496167","95.5108895422406","95.5470489084104","95.6239860492529","95.6302805287954","95.5417000726973","95.3881153533329","95.2038098025492","94.996528754167","94.7705163122211","94.7447650057973","94.4843288691981","94.194549318149","93.9557980295478","93.6182146992125","93.2876165967883","92.8462268583562","92.451002987091","91.3431798907069","90.1445042231185","89.105573798952","88.0483478946331","87.144421530067","86.3706439034805","85.6275715983883","84.8648501073708","83.9196968080523","83.9825457602535","83.9803451660656","84.3339689498776","82.3020220615469","82.7528672520298","83.1167298122039","83.3586259658612","83.4001611011252",
"Africa Western and Central","AFW","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.3561380357321","90.211301679611","90.1131882110917","90.0277472458784","89.898149146257","89.7433808377033","89.5530338263385","89.3488035374368","89.1117651936972","88.8393516737232","88.5815518131282","88.2401270474951","87.8375745433707","87.4195694223758","87.0070248583564","86.6112097251127","86.259161566903","85.9003447438668","85.5676305542963","85.1766511545817","84.8150068996308","84.5618897682346","84.2102070107475","83.9451497018625","83.6401218109304","83.3255520011809","82.9975200918092","82.6391889384844","82.3382408763873","83.1798093304913","82.3821726860278","81.965235173188","81.8157188263255","81.6059131537887","81.341331940292",
"Angola","AGO","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.5468962660512","88.6000012423186","89.0990380195901","89.5172909485215","89.6297781975599","89.4721870268335","89.1841620058622","88.8474178037941","88.5600323128889","88.2770951341813","88.00015918833","87.5942703404453","87.2596071508453","86.8591055566555","86.3394239779673","85.8231510223722","85.2554029324709","84.5029280543593","83.7826936448557","83.3004853726392","83.0398730949027","80.2817018819366","77.5077706150326","74.6764381106495","74.590993197709","74.6143372651658","74.6730042216403","74.777847869092","74.8473743428277","75.4218970746511","75.309105179751","75.8451288778056","75.8929055587897","75.8578491500963","75.9049595584427",
"Albania","ALB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.4122631813972","62.6630740428303","62.7348377548822","62.5885563438544","62.1916480522181","61.7262619331107","61.4410794170233","61.0588818722336","60.5782471535249","60.1052099396755","59.6061896499078","59.0741462891404","58.6236423330033","58.6393316785711","58.4393004781238","57.9396706910545","58.1168082527175","60.1708281677925","58.2901728043219","56.7015806933278","61.0785048686001","63.060115302061","59.5181746760217","57.9261455404605","58.8125122791149","58.6042447945819","55.8215914218938","55.4809395618555","54.2682493705753","53.8415232822032","52.1135115236413","52.958405974514","50.9567888017658","50.6059738380855","50.2796648858816",
"Andorra","AND","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5791157451424","38.2428810622759","38.1447544198876","37.7906353974835","37.5244695965479","36.9519195415959","36.3345060936266","36.1200162676553","35.4337863315123","35.4751323038104","34.8335391580563","34.8198792626583","34.9439921237643","34.9461222626383","33.5887346641574","32.6759926119914","33.0624338760435","31.9061874896201","31.5075891474705","30.7341960501175","30.471752856487","29.5011060446777","29.2538359496947","29.262732867696","28.39160480787","28.1876842472654","28.5381763515133","28.5027662960486","28.4216913365372","28.0418571103261","28.1057693846786","27.6435352371726","25.9107093251811","25.7420726503106","25.6437093046848",
"United Arab Emirates","ARE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.29434630929833","3.32863124626139","3.42079207506459","3.45810414692279","3.44337653342786","3.38802063406385","3.30516211658192","3.3770640483098","3.45345393799165","3.4114671766367","3.50821619663334","3.66743019872469","3.75046042532349","3.74661528363486","3.68679285518268","3.91142956801096","4.31423325969333","4.77690247244521","4.8718313015342","4.83654523772064","4.6590254275841","4.50846283434011","4.30653646193029","3.44618065045487","3.56427061769858","3.56787055120246","3.51206105587756","3.97390216684164","4.94187373809218","4.77912032457149","4.41177868377211","4.87577316029646","5.16866279203468","5.14096895462009","5.06630975842524",
"Argentina","ARG","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3436744370776","29.2666012942076","29.1272041655499","28.8952092607534","28.7457999128616","28.6094632354725","27.6615807451003","27.2544724390223","26.9589788446669","27.0138603006167","27.5812518322128","27.7293614276526","25.7232948840096","25.6169359037311","25.2513010745787","24.3522857495526","23.6432247268958","23.6828244467167","24.0434814242682","23.5572262075831","23.0996962475651","22.9951633568498","23.5474300992898","23.6534735066636","24.2029729944252","24.7936686302606","25.34000071095","25.5288296627034","26.5071736192803","26.9999863187833","27.5889333220598","26.7103520757327","25.7532907207061","25.723126077171","25.5757392075766",
"Armenia","ARM","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6419550852804","51.5615459888132","52.2825958990452","52.8548239984153","53.0851939695084","53.0523232221737","52.8967216431856","52.5458049434548","52.1797058998159","51.7919797038044","51.3294255164461","50.7647362358831","50.1012132306123","49.4409450722004","48.7155294487043","47.98215370566","47.1949085711469","46.4700847621414","46.1893861683653","47.3671223956125","48.1103328088253","47.4463530805766","46.3568133065901","46.1536972870911","44.8132150859168","43.9561602636345","42.3478211924596","42.0146313816711","39.4589982141828","39.7016249149593","36.787988179911","36.326614659914","34.8228815827224","34.3135886069322","33.6643743470283",
"American Samoa","ASM","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9358309933573","21.952921397179","21.9706678278659","21.8134137185445","21.63640949064","21.5280908799068","21.3505647474053","21.0925751639336","20.9226633858585","20.6922381376602","20.436332556961","20.1969794557813","19.0708777316427","19.7506958819477","18.8299261516092","18.7168002140985","17.0139550326132","16.5002165185153","17.4147357377704","17.1706953384702","17.5765489903207","16.6683560456588","16.829765784434","16.5959944417401","16.6086378746496","16.9621152422373","16.8818822360916","16.6234785114637","16.8063765003653","16.7013386719001","16.7907061390951","16.5241589891756","16.3447137647974","16.2181086860714","16.1048964546054",
